장소,자동차정비업체종류,도로명주소,위도,경도,전화번호
각화정비검사(주),2,"광주광역시 북구 동문대로266번길 40, 404동(각화동)",35.18424829,126.9372133,062-572-2014
강대원카,3,광주광역시 북구 참판로 154(두암동),35.17141339,126.9336202,062-572-4944
강산모터스,3,광주광역시 북구 연양로95번길 9(양산동),35.20753178,126.8779195,062-572-8833
건국카클리닉,3,광주광역시 북구 하서로 553(본촌동),35.2234926,126.8809658,062-522-0868
경전카공업사,3,광주광역시 북구 무등로262번길 17(중흥동),35.16258838,126.9118654,062-527-2312
계림카센타,3,광주광역시 북구 경양로183번길 18(중흥동),35.16069114,126.9116607,062-266-7610
고려유통,3,광주광역시 북구 설죽로 174(용봉동),35.17520653,126.8966319,062-571-4320
고흥카써비스,3,광주광역시 북구 면앙로 192(두암동),35.17518408,126.932563,062-513-7741
공단카크리닉,3,광주광역시 북구 하서로216번길 2(양산동),35.19448874,126.8773657,
공임나라 운암점,3,광주광역시 북구 비엔날레로 54-6(운암동),35.17665999,126.8891184,
광남자동차공업사,1,광주광역시 북구 하서로 652-7(지야동),35.23148715,126.8875064,062-526-1247
광신자동차정비공업사,2,"광주광역시 북구 무등로111번길 30, 외3필지(신안동)",35.16871887,126.8974235,062-361-7474
광일카센터,3,광주광역시 북구 삼소로 398(월출동),35.24269258,126.8778087,062-528-8966
광주용달협회정비사업부,3,광주광역시 북구 독립로349번길 50(중흥동),35.16287652,126.9124454,062-961-7422
광주카모터스,3,광주광역시 북구 자동차로48번길 50(신안동),35.16273613,126.9040491,062-527-9314
광주카서비스,3,광주광역시 북구 제봉로 302-1(중흥동),35.16147272,126.910444,062-527-9728
광주카서비스,3,광주광역시 북구 중가로 97-4(중흥동),35.15835835,126.9108132,062-512-5850
광주카센타,3,광주광역시 북구 무등로180번길 11(신안동),35.16506938,126.903255,062-531-3111
그린카서비스,3,광주광역시 북구 용봉로 56(신안동),35.17151093,126.9030158,
글로벌모터스,3,광주광역시 북구 양산택지로 40(양산동),35.20983531,126.8800281,
금동현대소형공업사,2,"광주광역시 북구 설죽로 623, 313동 2층(일곡동)",35.21526472,126.8976397,062-529-8601
금오오토자동차공업사,3,광주광역시 북구 용봉로 102(중흥동),35.1723285,126.9077555,062-521-8585
금일카종합센타,3,광주광역시 북구 서암대로132번길 5(신안동),35.16970198,126.8987115,062-526-4480
금호부분정비공업사,3,광주광역시 북구 용봉로 110(중흥동),35.1723614,126.9087519,062-269-4700
금호카월드,3,광주광역시 북구 태봉로 37-6(임동),35.16163709,126.9032478,
기능장모터스,3,광주광역시 북구 북문대로 193(동림동),35.18551435,126.8700526,062-574-0488
기아오토큐양산점,3,광주광역시 북구 하서로 381(양산동),35.20895509,126.8735105,062-523-4646
김스오토케어,3,광주광역시 북구 하남대로 629(동림동),35.17243885,126.8615298,062-265-3211
나의 자동차,3,광주광역시 북구 양산택지로 149(본촌동),35.217213,126.8788369,
남광카센타,3,광주광역시 북구 경양로119번길 10-10(신안동),35.16169696,126.9061374,062-430-2840
남양자동차공업사,3,광주광역시 북구 송해로 10(삼각동),35.19958863,126.9017134,062-652-3456
남일자동차공업사,3,광주광역시 북구 무등로262번길 16(중흥동),35.16275078,126.9114581,
노르딕,3,광주광역시 북구 무등로 272-7(중흥동),35.16272329,126.9129543,062-523-2705
뉴동광카프라자,3,광주광역시 북구 본촌마을길 98(본촌동),35.21974235,126.8795055,062-523-7454
뉴선일공업사,2,광주광역시 북구 무등로262번길 32(중흥동),35.16209753,126.9111593,062-261-8297
뉴오정헤드,3,광주광역시 북구 서림로81번길 11(임동),35.16480161,126.8965211,062-512-3611
다이알자동차공업사,3,광주광역시 북구 금호로 112(운암동),35.17636982,126.8831453,062-266-4783
달구지모터스,3,광주광역시 북구 독립로367번길 15(중흥동),35.16332305,126.9144607,062-526-7928
달구지카사랑,3,광주광역시 북구 군왕로 104(두암동),35.17056742,126.9328761,062-522-1155
달려라경정비,3,광주광역시 북구 경열로212번길 4(유동),35.1582164,126.9064173,
대광공업사,3,광주광역시 북구 우치로275번길 50(오치동),35.18954973,126.9027437,062-261-9060
대광종합카센터,3,광주광역시 북구 버들로 19(유동),35.15817793,126.9094109,062-264-2216
대도모터스,3,광주광역시 북구 무등로 247(중흥동),35.16416914,126.9105729,062-572-3267
대명써비스,3,광주광역시 북구 중가로 82-1(중흥동),35.15846548,126.9089417,062-523-8815
대산카프라자,3,광주광역시 북구 면앙로139번길 22(두암동),35.17743705,126.9278999,062-529-9022
대성모터스 손세차,3,광주광역시 북구 연양로105번길 30(양산동),35.20894616,126.8801506,062-572-0061
대성카센타,3,광주광역시 북구 천지인로 79(오치동),35.18439968,126.9073801,062-523-2994
대승자동차공업사,3,광주광역시 북구 용봉로 38-1(신안동),35.17148286,126.9011949,062-523-0355
대신자동차공업사,3,광주광역시 북구 서암대로131번길 6(신안동),35.17046776,126.8990129,
대양자동차공업사,3,광주광역시 북구 용봉로 42-1(신안동),35.17149906,126.9018272,062-953-8353
대왕자동차정비서비스,3,광주광역시 북구 하서로672번길 18-7(지야동),35.23303324,126.8898689,
대주부분 정비공업사,3,광주광역시 북구 송월로20번길 1(오치동),35.18563052,126.9132683,062-571-0088
대진운수(유),3,광주광역시 북구 하서로 768(용전동),35.23940093,126.8936322,062-521-6355
대창1급자동차공업사,1,광주광역시 북구 모룡대길 2(일곡동),35.21576581,126.9003659,062-262-5232
대한카공업사,3,광주광역시 북구 신임로31번길 33(신안동),35.16668785,126.896693,
대형카정비공업사,3,광주광역시 북구 하서로523번길 10(본촌동),35.2216157,126.8789464,062-526-0198
대흥자동차정비,2,광주광역시 북구 경열로211번길 13(유동),35.15837397,126.9052721,062-521-2366
대흥종합카센타,3,광주광역시 북구 우치로311번길 4(오치동),35.19265397,126.9039505,062-576-1995
더팩토리,3,광주광역시 북구 연양로 17(연제동),35.20648912,126.8693035,062-251-8587
덕창자동차공업사,3,광주광역시 북구 금남로95번길 13(유동),35.15707822,126.9062569,062-263-0133
덕천자동차백화점,3,광주광역시 북구 우치로2번길 3(중흥동),35.16798392,126.9106398,062-574-2840
도영카크리닉,3,광주광역시 북구 연양로95번길 6(양산동),35.20714172,126.8781389,062-513-8889
동광주서비스 주식회사,1,광주광역시 북구 오문로 228(문흥동),35.18948683,126.9295896,062-265-0451
동광주소형자동차정비공업사,2,광주광역시 북구 동문대로266번길 39(각화동),35.18463318,126.9374186,062-525-8852
동광카크리닉,3,광주광역시 북구 양산택지로 123(본촌동),35.21622086,126.8812392,062-573-1751
동림자동차종합정비주식회사,1,광주광역시 북구 유림로 152(동림동),35.17613788,126.8644419,
동명카센타,3,광주광역시 북구 삼정로3번길 31(두암동),35.16340245,126.9347186,062-521-9064
동방카서비스,3,광주광역시 북구 버들로19번길 6(유동),35.15822507,126.9089217,062-529-7130
동성카서비스,3,광주광역시 북구 송해로 29(삼각동),35.2012142,126.9006895,062-266-0101
동신카클리닉,3,광주광역시 북구 서암대로 92-2(신안동),35.17099377,126.8946433,062-526-2523
동신카클리닉,3,광주광역시 북구 용주로 18(용봉동),35.18128271,126.9004543,062-528-2559
동양카브레타,3,광주광역시 북구 서암대로 136-1(신안동),35.16959881,126.8991825,062-261-6444
동일카센타,3,광주광역시 북구 각화대로 8(각화동),35.18128514,126.9316622,062-265-4700
동진 모터스,3,광주광역시 북구 서림로 156-1(임동),35.15903247,126.901394,062-572-2222
동화자동차공업사,2,"광주광역시 북구 독립로367번길 87, 2(중흥동)",35.16433172,126.9106588,062-526-1366
두암동현대자동차,3,광주광역시 북구 면앙로 160(두암동),35.17595683,126.928951,062-265-8535
두암동현대자동차공업사,2,"광주광역시 북구 군왕로181번길 2, 22.23(두암동)",35.17748979,126.9339206,062-528-7009
둘둘종합카센터,3,광주광역시 북구 하서로 326(양산동),35.20413433,126.8738942,
드림카서비스,3,광주광역시 북구 대자실로 26(운암동),35.17909535,126.8745029,062-513-6001
라인카서비스,3,광주광역시 북구 문산로74번길 5(문흥동),35.18783694,126.9254389,062-511-0205
르노삼성자동차서비스코너 북구 신안점,3,광주광역시 북구 서암대로 96(신안동),35.17097083,126.8949068,062-511-9922
르노삼성자동차서비스코너북구점,3,광주광역시 북구 양산택지로 2(양산동),35.2067373,126.8786932,062-529-2765
리도공업사,2,광주광역시 북구 비엔날레로 154-2(용봉동),35.18297414,126.8937022,062-523-1020
마이카서비스,3,광주광역시 북구 비엔날레로 158(용봉동),35.1830117,126.8942905,
마이카서비스,3,광주광역시 북구 서암대로 200(중흥동),35.16800517,126.9058498,062-526-2339
만국자동차정비,3,광주광역시 북구 중가로 82-2(유동),35.15839858,126.9090848,062-529-5872
만덕자동차공업사,3,광주광역시 북구 설죽로202번길 22(용봉동),35.17737359,126.898685,062-525-8420
만석카센타,3,광주광역시 북구 자동차로 25(임동),35.1617737,126.9004203,062-525-1153
맥스모터스,3,광주광역시 북구 연양로 80-1(양산동),35.20650633,126.876252,062-524-9559
명인엔진써비스,3,광주광역시 북구 경양로165번길 9-7(중흥동),35.1609116,126.9090864,
무등카서비스,3,광주광역시 북구 중문로 1(중흥동),35.17306359,126.9180077,062-269-6800
무등카센타,3,광주광역시 북구 서암대로 141(신안동),35.17002762,126.8998774,062-267-2468
무등카센터,3,광주광역시 북구 독립로367번길 30-2(중흥동),35.16373584,126.9139034,062-574-0174
문화카세차장,3,광주광역시 북구 군왕로181번길 6(두암동),35.17758697,126.9337827,062-953-5138
문화카크리닉부분정비공업사,3,광주광역시 북구 동문대로 299(문흥동),35.1887153,126.933634,062-523-8301
미래모터스,3,광주광역시 북구 본촌택지로29번길 32(본촌동),35.2160463,126.8775589,062-571-1184
미래카센터,3,광주광역시 북구 연양로67번길 15(양산동),35.20837422,126.8747776,
미래카크리닉,3,광주광역시 북구 임방울대로 979(신용동),35.21491826,126.864927,062-265-1956
바른카서비스,3,광주광역시 북구 양산제로137번길 26(연제동),35.20462606,126.8698404,062-267-7546
박물관카센타,3,광주광역시 북구 하서로 211(양산동),35.1944617,126.876664,062-528-4647
반디가스앤오일(주),3,광주광역시 북구 운신남길 146(운암동),35.17184147,126.8827491,062-529-3799
반디카클리닉,3,광주광역시 북구 우치로 585(일곡동),35.21648665,126.9022886,062-268-4821
뱅두카샵,3,광주광역시 북구 대천로 63-1(오치동),35.18524624,126.9134836,062-263-5766
보라카센타,3,광주광역시 북구 신임로 16(임동),35.16493829,126.8982648,062-523-9707
뵈뵈카크리닉,3,광주광역시 북구 중흥로 54(임동),35.16457164,126.9002332,062-527-9884
부성카센타,3,광주광역시 북구 부남길15번길 43(문흥동),35.18924475,126.9264522,
부영자동차공업사,3,광주광역시 북구 탁영로 21(두암동),35.16664982,126.9353163,062-269-4949
부현사,3,광주광역시 북구 버들로 3-1(유동),35.15786704,126.9074833,062-521-8572
부흥상사,3,광주광역시 북구 버들로19번길 2-1(유동),35.15822848,126.9090287,062-571-7500
북광주1급자동차공업사,3,광주광역시 북구 하서로 652-7(지야동),35.23148715,126.8875064,062-576-6298
북광주상사,3,광주광역시 북구 삼소로 382(월출동),35.2423062,126.8754503,062-525-9979
북구종합정비마을자동차공업사,1,"광주광역시 북구 설죽로370번길 10-17, 70(오치동)",35.19190167,126.9006766,
북동점현대자동차,3,광주광역시 북구 금재로 56(북동),35.15649528,126.9092953,062-572-7171
북부자동차정비검사장㈜,1,광주광역시 북구 우치로 585-14(일곡동),35.21690503,126.9011473,062-573-1342
붕붕정비업소,3,광주광역시 북구 서방로39번길 84(문흥동),35.17635597,126.9175906,062-574-7422
블랙커스텀,3,광주광역시 북구 태령학림길 7-1(태령동),35.25066071,126.9267606,062-267-2543
빅모터스,3,광주광역시 북구 용두택지로 72(본촌동),35.21704119,126.8791491,062-971-3915
빛고을카,3,광주광역시 북구 용두마을길34번길 26(용두동),35.22172842,126.8766832,062-433-6225
삼각카클리닉,3,광주광역시 북구 송해로 34(삼각동),35.2015607,126.9009339,062-513-8297
삼기카센타,3,광주광역시 북구 효산로20번길 15-9(용봉동),35.18264327,126.9138012,062-265-3395
삼소자동차정비,3,광주광역시 북구 삼소로 159(대촌동),35.235251,126.852361,062-526-5503
삼양자동차공업사,3,광주광역시 북구 양일로305번길 10(일곡동),35.20345282,126.8970529,062-524-5657
삼익카부분정비공업사,3,광주광역시 북구 유림로 146(동림동),35.17561121,126.8643536,
삼일카경정비,3,광주광역시 북구 안산로 50(오치동),35.19166007,126.9021847,062-432-0951
삼화종합카센터,3,광주광역시 북구 버들로 3(유동),35.15773322,126.9074011,
상아모터스,3,광주광역시 북구 유림로 146(동림동),35.17561283,126.8643513,062-527-5613
상아자동차정비,3,광주광역시 북구 운용로 19(운암동),35.17470361,126.8889376,
새마스타밧데리,3,광주광역시 북구 버들로 24(유동),35.15783472,126.9095639,062-522-5836
서림카밧데리에어컨,3,광주광역시 북구 경열로212번길 12(유동),35.15814165,126.9068506,062-523-4658
서부조합카공업사,3,광주광역시 북구 신임로 22-1(신안동),35.16552436,126.8984853,062-572-5560
서일카에어콘,3,광주광역시 북구 무등로 185(신안동),35.16582231,126.9040786,062-572-8572
선명자동차공업사,2,광주광역시 북구 동문대로 291(문흥동),35.18836972,126.9324973,062-525-2332
선영사,3,광주광역시 북구 금재로 7(유동),35.15822225,126.9045605,062-525-5839
선정카센타,3,광주광역시 북구 일곡마을로 178(일곡동),35.21027551,126.8936056,
선진카월드,3,광주광역시 북구 일곡마을로 173(일곡동),35.2105573,126.8930166,062-572-8270
성보카센터,3,광주광역시 북구 서암대로 231(중흥동),35.16760039,126.9091895,062-529-7503
성실카클리닉,3,광주광역시 북구 용주로 33(용봉동),35.18197378,126.9016627,062-527-4590
성심2급카센타,3,광주광역시 북구 중가로 97(중흥동),35.15828449,126.91052,062-529-8313
성원카굿서비스,3,광주광역시 북구 용두택지로 42(용두동),35.214729,126.8777586,062-571-9286
성원카클리닉,3,광주광역시 북구 우치로 272(오치동),35.1889894,126.9057572,
성임카센타,3,광주광역시 북구 중가로 118(중흥동),35.15752183,126.9125901,062-572-1340
세명자동차공업사,3,광주광역시 북구 설죽로 130(신안동),35.17164703,126.8969037,062-523-0806
세영자동차정비공업사,3,광주광역시 북구 비엔날레로 181-1(용봉동),35.18325876,126.8967997,062-268-7488
세진카서비스,3,광주광역시 북구 서암대로 74(신안동),35.17151492,126.8925835,
세화카클리닉,3,광주광역시 북구 양일로 83(양산동),35.198102,126.8742099,062-525-3850
송광카,3,광주광역시 북구 중흥로 52(임동),35.16466615,126.8999628,062-268-7771
송원카세차장,3,광주광역시 북구 참판로 239(각화동),35.17889829,126.9360194,062-524-4842
수성카클리닉,3,"광주광역시 북구 중흥로 171-2, 109동(중흥동)",35.16153887,126.912655,
순창자동차공업사,3,광주광역시 북구 중흥로 151-4(중흥동),35.16227297,126.9106026,062-575-3555
쉐보레 동광주서비스센터주식회사,1,광주광역시 북구 오문로 234(문흥동),35.18946832,126.9303074,
스마일카크리닉,3,광주광역시 북구 본촌택지로 15(본촌동),35.21537321,126.8792995,062-573-2180
스타일 모터스,3,광주광역시 북구 무등로 267(중흥동),35.16365681,126.9126744,062-513-7887
스피드메이트 광주양산점,3,광주광역시 북구 자라봉로 8(양산동),35.20775822,126.8746783,062-527-3963
스피드메이트 일곡점,3,"광주광역시 북구 설죽로471번길 69, 110동(삼각동)",35.20167687,126.8958757,062-261-7474
스피드메이트 첨단2지구점,3,광주광역시 북구 첨단연신로108번길 93(신용동),35.20985284,126.8656502,
스피드메이트광주SKOK점,3,광주광역시 북구 하남대로 691(동림동),35.1721311,126.8683007,062-266-1243
스피드메이트광주역점,3,광주광역시 북구 무등로 218(신안동),35.164411,126.9072674,062-525-4821
스피드메이트으뜸점,3,광주광역시 북구 군왕로 177(두암동),35.17718983,126.9337704,062-521-3134
스피드메이트코끼리점,3,광주광역시 북구 서하로 73(매곡동),35.18765165,126.88851,062-266-7555
승기카센타,3,광주광역시 북구 천지인로115번길 9(오치동),35.18444485,126.9112387,062-572-5229
승리카인테리어,3,광주광역시 북구 중흥로 60(임동),35.16443039,126.9007784,062-511-1228
승진카센터,3,광주광역시 북구 버들로 7-5(유동),35.15827118,126.9079139,062-522-7600
승철카샵,3,광주광역시 북구 송월로20번길 32(오치동),35.18532251,126.9148922,
승호카센타,3,광주광역시 북구 송해로 82-26(일곡동),35.2058705,126.9007011,062-524-6124
시온카오토박스,3,광주광역시 북구 고운로5번길 6(용봉동),35.18218402,126.8991937,
신성자동차공업사,3,광주광역시 북구 서림로 73(임동),35.16478558,126.8960044,062-267-5766
신안카서비스,3,광주광역시 북구 서암대로 118-1(신안동),35.17028098,126.8972773,062-266-1903
신용카브레타,3,광주광역시 북구 서암대로208번길 58(신안동),35.16779475,126.9033969,062-524-5192
신용카크리닉,3,광주광역시 북구 임방울대로 961(신용동),35.21533965,126.8631715,062-267-4653
신우카서비스,3,광주광역시 북구 천지인로 101-1(오치동),35.18419329,126.9097954,062-524-2737
신한자동차공업사,2,광주광역시 북구 자동차로 46(신안동),35.16330945,126.9015416,062-515-5582
신흥카브레타,3,광주광역시 북구 경열로 257(신안동),35.16236488,126.9075538,062-971-5581
쌍둥이자동차공업사,3,광주광역시 북구 효산로 20(용봉동),35.1823559,126.9130259,062-514-5582
쌍용부분정비공업사,3,광주광역시 북구 우치로383번길 14(삼각동),35.1987792,126.9020266,
쌍용서비스프라자용봉코너,3,광주광역시 북구 설죽로 265(용봉동),35.18339153,126.8982925,
쌍용서비스프라자첨단코너,3,광주광역시 북구 삼소로 179(대촌동),35.23594662,126.8543352,062-512-5050
쌍용자동차 중흥서비스프라자,3,광주광역시 북구 무등로262번길 61(중흥동),35.1606252,126.9109709,
쌍용자동차각화서비스프라자,3,광주광역시 북구 각화대로 53(각화동),35.18077704,126.9366244,062-524-2826
썬카클리닉,3,광주광역시 북구 서하로 285(오치동),35.18715864,126.9117237,062-513-1812
아시아2급자동차정비공업사,2,"광주광역시 북구 무등로137번길 22-5, 17(신안동)",35.16818071,126.8996262,062-525-2229
아우토랩,3,광주광역시 북구 하서로241번길48(양산동),35.197568,126.875531,062-572-7784
아이엠모터스,3,광주광역시 북구 하서로 570-6(본촌동),35.22433168,126.8828325,062-526-4253
아천자동차공업사㈜,2,광주광역시 북구 북문대로 25(운암동),35.17410004,126.8823215,062-262-2401
안전카서비스,3,광주광역시 북구 용주로 46(용봉동),35.18227979,126.9028958,062-523-0727
안전카서비스,3,광주광역시 북구 자산로 97(신안동),35.16694805,126.9021976,062-572-0605
알파자동차공업사,3,광주광역시 북구 버들로 6(북동),35.15774165,126.9078196,062-572-4982
알파카정비,3,광주광역시 북구 우치로275번길 38(오치동),35.18950261,126.9033382,062-572-5719
애니카랜드양산점,3,광주광역시 북구 양산택지로 137(본촌동),35.21690465,126.879894,062-572-3592
애니카랜드중흥점,3,광주광역시 북구 경열로 258(중흥동),35.16224129,126.9082533,062-430-3100
양산자동차서비스,2,광주광역시 북구 하서로322번길 24-7(양산동),35.20632978,126.8753118,062-269-8643
양산카클리닉,3,광주광역시 북구 연양로 48(양산동),35.20624554,126.8726602,062-381-1113
양지카센타,3,광주광역시 북구 연양로 78(양산동),35.20652507,126.8758872,
어울림카센타,3,광주광역시 북구 금남로 25(임동),35.15963279,126.8991143,062-262-5551
에이원오토,3,광주광역시 북구 천지인로 113(오치동),35.18409748,126.9111383,062-515-8272
에이젯모터스,3,광주광역시 북구 참판로 73(두암동),35.16469745,126.9319729,062-527-2355
엔젤카센타,3,광주광역시 북구 용주로 32(용봉동),35.18174061,126.9015732,062-512-9639
엔진마을북구점,3,광주광역시 북구 서하로 268(오치동),35.18686127,126.9098629,062-269-0120
엘.에이.모터스,3,광주광역시 북구 독립로367번길 12(중흥동),35.16353747,126.9146965,062-522-1524
엘림카서비스,3,광주광역시 북구 무등로 252(중흥동),35.16349605,126.9107552,062-522-2239
엘피지카,3,광주광역시 북구 중흥로 131(중흥동),35.1626298,126.9085152,
영수카센타,3,광주광역시 북구 평교로6번길 19(우산동),35.1778008,126.9254532,062-526-5255
영진자동차공업사,3,광주광역시 북구 반룡로 15-1(용봉동),35.17937364,126.8997986,062-525-1737
영진카텍공업사,3,광주광역시 북구 자산로 52(신안동),35.16788519,126.8972955,062-524-0014
오일카서비스,3,광주광역시 북구 서하로 451(문흥동),35.18228595,126.928449,062-267-8741
오정공업사,3,광주광역시 북구 신임로31번길 32(신안동),35.16691357,126.8969251,062-952-3677
오정모터스,3,광주광역시 북구 서림로81번길 25(임동),35.16539037,126.8967221,
오정밋션,3,광주광역시 북구 설죽로251번길 42-8(용봉동),35.18250174,126.8964169,062-511-0837
오치카센터,3,광주광역시 북구 우치로 255(오치동),35.18766921,126.9049858,062-512-0049
오토마트공업사,1,광주광역시 북구 하서로 648(지야동),35.23028611,126.8866489,062-250-8086
오토맥스부분정비,3,광주광역시 북구 자동차로 10(임동),35.16032019,126.9003377,
오토뱅크부분정비업소,3,광주광역시 북구 설죽로 264(용봉동),35.18314241,126.8989621,062-571-0189
오토오아시스 클릭점,3,"광주광역시 북구 하남대로 743, 104동(운암동)",35.17204575,126.8740756,062-573-1210
오토오아시스 홈플러스 동광주점,3,"광주광역시 북구 동문대로 200, 3층(두암동)",35.17934165,126.9304166,062-575-2089
